customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,senior_citizen,partner,dependents,phone_service,multiple_lines,paperless_billing,churn
3214-IYUUQ,61,93.7,5860.7,one_year,bank_transfer,fiber_optic,Yes,Yes,No,Yes,No,Yes,0,1,0,1,0,0,0
1936-UAFEH,68,110.25,7279.35,two_year,credit_card,fiber_optic,Yes,Yes,No,Yes,Yes,Yes,0,0,0,1,1,0,0
3587-PMCOY,10,98.9,1064.95,one_year,electronic_check,fiber_optic,Yes,No,Yes,No,Yes,Yes,0,0,0,1,0,1,0
8079-XRJRS,65,89.75,5769.6,one_year,electronic_check,fiber_optic,Yes,Yes,Yes,No,No,No,0,1,0,1,1,0,1
1027-LKKQQ,72,80.45,5886.85,two_year,bank_transfer,dsl,Yes,No,Yes,Yes,Yes,Yes,0,1,1,1,0,1,0
7148-XZPHA,55,79.4,4238.45,month_to_month,electronic_check,fiber_optic,No,Yes,No,Yes,No,No,0,1,1,1,0,0,0
8073-IJDCM,1,20.3,20.3,month_to_month,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,1,1
5309-TAIKL,7,62.8,418.3,month_to_month,bank_transfer,dsl,No,No,Yes,Yes,No,Yes,0,0,0,1,0,0,0
6856-RAURS,2,74.9,136.05,month_to_month,mailed_check,fiber_optic,No,No,No,No,No,No,0,0,0,1,1,1,0
8778-LMWTJ,9,74.85,708.2,month_to_month,electronic_check,fiber_optic,Yes,No,No,No,No,No,0,0,0,1,0,1,0
9717-IOAAF,27,25.85,788.55,two_year,credit_card,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,1,1,1,1,0
8884-ADFVN,7,101.95,700.85,month_to_month,electronic_check,fiber_optic,No,No,Yes,No,Yes,Yes,1,1,0,1,1,1,1
2845-KDHVX,64,68.3,4378.8,two_year,mailed_check,dsl,No,Yes,Yes,Yes,No,Yes,0,1,0,1,0,1,0
0848-SOMKO,70,48.4,3442.8,two_year,bank_transfer,dsl,Yes,No,Yes,Yes,No,Yes,0,0,0,0,0,0,0
2720-WGKHP,2,94.0,181.7,month_to_month,electronic_check,fiber_optic,No,No,No,No,Yes,Yes,1,0,0,1,1,1,1
6734-FQAJX,67,105.05,7171.7,two_year,electronic_check,fiber_optic,Yes,Yes,No,Yes,Yes,Yes,1,0,0,1,0,1,0
2869-ADAWR,45,89.3,4016.85,month_to_month,credit_card,fiber_optic,No,Yes,No,No,Yes,No,0,0,0,1,1,1,1
1535-VTJOQ,24,25.15,553.0,two_year,credit_card,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,1,0,0
6368-TZZDT,4,19.5,96.85,two_year,credit_card,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,0,0
0943-ZQPXH,44,92.95,4122.9,month_to_month,bank_transfer,fiber_optic,No,No,Yes,No,Yes,Yes,0,1,1,1,0,1,0
1293-BSEUN,72,20.7,1482.3,two_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,1,0
9894-EZEWG,1,74.3,74.3,month_to_month,credit_card,fiber_optic,No,Yes,No,No,No,No,0,0,0,1,0,1,1
1302-TPUBN,66,19.35,1240.8,two_year,bank_transfer,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,0
7851-FLGGQ,1,44.65,44.65,month_to_month,mailed_check,dsl,No,Yes,No,Yes,No,Yes,0,0,0,0,0,1,1
0637-UBJRP,13,84.05,1095.3,month_to_month,electronic_check,fiber_optic,Yes,No,No,No,No,Yes,0,1,1,1,0,0,1
0940-OUQEC,10,80.7,788.8,month_to_month,bank_transfer,fiber_optic,No,Yes,No,No,No,No,0,0,0,1,1,1,1
2378-VTKDH,65,104.35,6578.55,month_to_month,electronic_check,fiber_optic,No,Yes,Yes,No,Yes,Yes,1,1,0,1,1,1,0
0927-CNGRH,1,19.55,19.55,month_to_month,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,1,1,0,0,0
8608-OZTLB,38,74.05,2802.3,one_year,electronic_check,dsl,Yes,Yes,Yes,Yes,Yes,No,0,1,1,1,0,0,0
2335-GSODA,23,40.1,857.75,two_year,mailed_check,dsl,Yes,No,Yes,Yes,No,No,0,0,1,0,0,0,0
1952-DVVSW,10,20.1,184.4,one_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,1,0,0,0
0702-PGIBZ,4,101.7,364.55,month_to_month,electronic_check,fiber_optic,No,Yes,No,No,Yes,Yes,0,0,1,1,1,1,1
6656-GULJQ,72,83.55,6093.3,two_year,credit_card,dsl,Yes,No,Yes,Yes,Yes,Yes,0,1,1,1,1,1,0
9853-JFZDU,35,56.85,1861.1,month_to_month,electronic_check,dsl,No,Yes,No,Yes,No,No,0,1,0,1,0,0,0
1963-VAUKV,1,20.4,20.4,month_to_month,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,1
3777-XROBG,58,19.55,1079.65,two_year,credit_card,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,0,0
6994-FGRHH,70,106.15,7475.1,one_year,electronic_check,fiber_optic,No,Yes,Yes,Yes,Yes,Yes,0,1,1,1,0,1,0
4000-VGMQP,38,78.95,2862.55,one_year,credit_card,dsl,No,Yes,Yes,No,Yes,Yes,0,1,1,1,1,0,0
3999-WRNGR,60,49.75,3069.45,month_to_month,electronic_check,dsl,No,Yes,No,No,Yes,Yes,0,1,1,0,0,1,0
3466-RITXD,26,92.4,2349.8,month_to_month,credit_card,fiber_optic,Yes,Yes,No,No,Yes,No,0,0,0,1,1,1,0
2680-XKKNJ,8,58.2,469.25,one_year,bank_transfer,dsl,Yes,Yes,No,Yes,No,No,0,0,0,1,0,0,0
3058-HJCUY,41,102.6,4213.35,one_year,electronic_check,fiber_optic,No,No,Yes,Yes,Yes,Yes,0,1,1,1,1,1,1
2974-GGUXS,36,91.95,3301.05,month_to_month,credit_card,fiber_optic,No,Yes,No,No,Yes,No,1,1,0,1,1,1,0
7994-XIRTR,54,65.25,3529.95,one_year,bank_transfer,dsl,No,No,Yes,Yes,No,Yes,1,0,0,1,0,0,0
3259-FDWOY,71,106.0,7723.7,two_year,bank_transfer,fiber_optic,No,Yes,Yes,No,Yes,Yes,0,1,1,1,1,1,1
2101-RANCD,55,73.1,4144.9,month_to_month,electronic_check,fiber_optic,No,No,No,No,No,No,0,0,0,1,1,1,0
7921-BEPCI,72,59.75,4265.0,two_year,bank_transfer,dsl,Yes,Yes,No,No,No,No,0,0,0,1,1,0,0
0807-ZABDG,3,55.1,154.65,month_to_month,mailed_check,dsl,Yes,No,No,Yes,No,No,0,0,1,1,0,1,1
8510-TMWYB,54,59.8,3246.45,two_year,bank_transfer,dsl,No,Yes,Yes,No,No,No,0,1,1,1,1,1,0
3258-ZKPAI,72,116.6,8337.45,two_year,bank_transfer,fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,0,1,1,1,1,1,0
1428-IEDPR,52,109.3,5731.4,two_year,electronic_check,fiber_optic,Yes,No,Yes,Yes,Yes,Yes,0,0,0,1,1,1,0
5298-GSTLM,60,101.4,6176.6,one_year,bank_transfer,fiber_optic,Yes,No,No,No,Yes,Yes,1,0,0,1,1,1,0
4450-YOOHP,39,50.65,1905.4,month_to_month,credit_card,dsl,No,No,Yes,No,Yes,Yes,0,0,0,0,0,1,0
6728-CZFEI,15,56.15,931.9,one_year,mailed_check,dsl,No,No,No,No,Yes,No,0,0,0,1,0,0,0
5748-RNCJT,69,106.5,7348.8,two_year,bank_transfer,fiber_optic,No,No,Yes,Yes,Yes,Yes,0,0,0,1,1,1,1
3653-NCRDJ,43,19.2,776.25,one_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,1,0
6121-TNHBO,63,83.0,5243.05,one_year,bank_transfer,dsl,Yes,Yes,Yes,Yes,Yes,No,1,0,0,1,1,0,0
5119-NZPTV,2,70.1,141.65,month_to_month,electronic_check,fiber_optic,No,No,No,No,No,No,1,1,0,1,0,0,0
6519-ZHPXP,72,108.3,7679.65,two_year,bank_transfer,fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,0,1,1,1,0,1,0
7739-LAXOG,32,91.05,2954.5,month_to_month,bank_transfer,fiber_optic,No,No,Yes,No,No,Yes,0,1,1,1,1,1,1
3472-QPRCH,40,25.25,1006.9,two_year,credit_card,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,1,0,0
8224-UAXBZ,58,45.35,2540.1,one_year,electronic_check,dsl,Yes,Yes,No,No,Yes,No,0,1,0,0,0,1,0
9610-WCESF,67,43.9,3097.2,two_year,electronic_check,dsl,Yes,No,No,Yes,Yes,No,0,0,0,0,0,0,0
9776-CLUJA,51,77.5,3807.35,month_to_month,electronic_check,fiber_optic,Yes,No,No,No,No,No,1,1,0,1,1,1,1
2486-WYVVE,31,79.3,2484.0,one_year,mailed_check,dsl,No,No,Yes,Yes,Yes,Yes,0,1,0,1,1,1,0
3865-ZYKAD,69,84.9,5785.65,month_to_month,credit_card,fiber_optic,Yes,Yes,No,No,No,No,1,1,0,1,1,1,0
1422-DGUBX,32,79.25,2619.15,one_year,electronic_check,fiber_optic,No,No,No,Yes,No,No,0,1,0,1,1,1,0
2999-AANRQ,21,71.05,1524.85,two_year,credit_card,dsl,Yes,Yes,No,Yes,Yes,No,0,0,0,1,0,0,0
8668-KNZTI,52,53.75,2790.65,one_year,electronic_check,dsl,Yes,No,Yes,No,No,No,0,0,0,1,0,0,0
0480-KYJVA,72,24.25,1784.5,two_year,credit_card,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,1,0,0
6034-ZRYCV,72,54.2,3937.45,two_year,electronic_check,dsl,No,Yes,Yes,No,Yes,Yes,0,1,0,0,0,1,1
9746-YKGXB,52,44.25,2276.1,one_year,bank_transfer,dsl,Yes,No,Yes,No,No,Yes,0,1,1,0,0,0,0
3926-YZVVX,41,50.05,2029.05,one_year,bank_transfer,dsl,No,No,No,Yes,No,No,0,0,0,1,0,0,0
6000-UKLWI,41,20.15,802.35,two_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,0
2079-FBMZK,6,69.25,418.4,month_to_month,mailed_check,fiber_optic,No,No,No,No,No,No,0,0,0,1,0,1,1
6332-FBZRI,67,69.35,4653.25,one_year,credit_card,dsl,Yes,Yes,Yes,Yes,No,No,0,1,1,1,1,1,0
2096-XOTMO,16,19.35,275.9,month_to_month,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,0,0
3266-FTKHB,17,19.15,343.45,two_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,0
8221-EQDGL,35,61.0,2130.45,month_to_month,mailed_check,dsl,Yes,Yes,Yes,No,No,No,0,1,0,1,0,0,0
2346-LOCWC,58,20.5,1191.4,two_year,credit_card,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,0,0
6608-QQLVK,1,50.5,50.5,month_to_month,electronic_check,dsl,No,No,Yes,No,No,No,0,0,0,1,0,1,1
0298-XACET,52,50.2,2554.0,two_year,mailed_check,dsl,No,Yes,Yes,Yes,Yes,No,0,1,1,0,0,0,0
7560-QJAVJ,70,79.6,5589.45,two_year,bank_transfer,dsl,Yes,No,Yes,Yes,Yes,Yes,0,0,0,1,0,0,0
2995-YWTCD,19,24.9,467.7,two_year,bank_transfer,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,1,1,0
3551-HUAZH,1,74.4,74.4,month_to_month,electronic_check,fiber_optic,No,No,No,No,No,No,1,0,0,1,1,1,1
9137-UIYPG,35,106.9,3756.45,month_to_month,electronic_check,fiber_optic,Yes,No,Yes,Yes,Yes,Yes,0,1,1,1,0,1,0
2809-ZMYOQ,32,101.35,3334.9,month_to_month,electronic_check,fiber_optic,No,No,Yes,No,Yes,Yes,0,0,0,1,1,1,0
5084-OOVCJ,17,55.35,920.5,month_to_month,credit_card,dsl,Yes,No,No,Yes,No,No,0,1,1,1,0,1,0
0254-WWRKD,67,50.55,3431.75,one_year,credit_card,dsl,No,Yes,No,No,No,No,0,1,1,1,0,0,0
7727-SHVZV,9,19.5,150.35,month_to_month,bank_transfer,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,0
6302-JGYRJ,31,79.45,2587.7,one_year,mailed_check,dsl,No,Yes,No,Yes,Yes,Yes,0,0,1,1,1,1,1
5339-PXDVH,4,90.65,367.95,month_to_month,electronic_check,fiber_optic,Yes,No,No,No,Yes,No,0,0,0,1,1,0,0
2205-LPVGL,58,89.85,5125.75,one_year,bank_transfer,fiber_optic,Yes,Yes,No,Yes,No,No,1,1,1,1,1,1,0
8782-NUUOL,60,79.0,4801.1,one_year,mailed_check,dsl,Yes,No,Yes,Yes,Yes,Yes,0,0,0,1,0,0,0
3685-YLCMQ,58,104.65,6219.6,one_year,electronic_check,fiber_optic,No,No,Yes,Yes,Yes,Yes,0,0,0,1,1,1,1
7601-WFVZV,1,19.55,19.55,month_to_month,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,0
4609-KNNWG,27,19.9,550.1,two_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,0,0
4868-AADLV,66,116.25,7862.25,one_year,electronic_check,fiber_optic,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,0
9529-OFXHY,15,87.75,1242.2,month_to_month,bank_transfer,fiber_optic,Yes,No,No,No,Yes,No,0,0,0,1,1,1,0
8634-MPHTR,47,100.05,4871.05,month_to_month,electronic_check,fiber_optic,No,No,Yes,No,Yes,Yes,1,1,0,1,1,1,1
2669-QVCRG,41,81.3,3190.65,month_to_month,credit_card,fiber_optic,Yes,No,No,No,No,No,0,0,0,1,1,1,0
2478-EEWWM,59,44.3,2666.75,month_to_month,electronic_check,dsl,No,No,No,No,Yes,Yes,0,1,0,0,0,1,0
9174-IHETN,50,70.35,3533.6,two_year,credit_card,fiber_optic,No,No,No,No,No,No,0,0,1,1,0,0,0
2233-TXSIU,17,44.45,792.15,one_year,credit_card,dsl,Yes,No,Yes,No,Yes,No,0,1,1,0,0,0,0
9644-UMGQA,6,49.15,295.65,month_to_month,electronic_check,dsl,Yes,No,No,No,No,No,0,1,1,1,0,1,0
3256-EZDBI,51,29.45,1459.35,month_to_month,credit_card,dsl,No,Yes,No,No,No,No,1,1,0,0,0,1,0
8761-NSOBC,44,100.55,4398.15,month_to_month,electronic_check,fiber_optic,No,Yes,No,Yes,Yes,Yes,0,0,0,1,0,0,1
0419-YAAPX,49,85.3,4297.95,month_to_month,credit_card,fiber_optic,No,Yes,No,No,Yes,No,0,1,0,1,0,1,0
8413-VONUO,2,95.65,167.3,month_to_month,electronic_check,fiber_optic,No,Yes,No,No,Yes,Yes,0,0,0,1,0,0,1
0872-CASZJ,59,69.1,4096.9,one_year,mailed_check,dsl,Yes,No,No,Yes,No,Yes,0,1,0,1,1,1,0
4726-DLWQN,50,70.35,3454.6,month_to_month,bank_transfer,dsl,Yes,Yes,No,No,Yes,No,1,0,0,1,1,1,0
8164-OCKUJ,59,20.6,1286.0,two_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,0,0
3094-JOJAI,18,74.15,1387.0,month_to_month,mailed_check,fiber_optic,No,No,No,No,No,No,0,0,0,1,1,0,0
9494-MRNYX,10,75.05,786.3,month_to_month,electronic_check,fiber_optic,No,No,No,No,No,No,0,0,0,1,1,0,0
2599-CZABP,14,44.6,641.25,one_year,electronic_check,dsl,No,No,No,No,No,No,0,1,0,1,0,0,0
7945-PRBVF,35,21.45,705.45,two_year,bank_transfer,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,0
4544-RXFMG,8,43.45,345.5,one_year,mailed_check,dsl,No,No,No,No,No,No,0,1,1,1,0,1,0
0859-YGKFW,18,20.05,345.9,one_year,bank_transfer,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,0,0
1150-FTQGN,60,94.15,5811.8,one_year,bank_transfer,fiber_optic,Yes,Yes,No,No,Yes,No,0,1,1,1,1,0,0
9223-UCPVT,1,94.4,94.4,month_to_month,electronic_check,fiber_optic,No,No,Yes,No,Yes,Yes,0,0,0,1,0,0,1
7196-LIWRH,6,19.55,124.45,two_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,0
5448-VWNAM,19,75.9,1375.6,month_to_month,mailed_check,dsl,Yes,Yes,No,Yes,Yes,No,0,0,1,1,1,1,0
1177-XZBJL,53,64.15,3491.55,one_year,bank_transfer,dsl,Yes,Yes,No,Yes,No,No,0,1,1,1,1,0,0
3518-FSTWG,72,109.55,7920.7,two_year,bank_transfer,fiber_optic,Yes,Yes,Yes,No,Yes,Yes,1,1,0,1,1,1,0
9330-VOFSZ,60,110.8,6640.7,two_year,credit_card,fiber_optic,No,Yes,Yes,Yes,Yes,Yes,0,1,0,1,1,1,0
4351-QLCSU,1,55.0,55.0,month_to_month,credit_card,dsl,No,No,No,No,Yes,No,0,0,0,1,0,1,1
0939-EREMR,13,53.45,718.1,month_to_month,mailed_check,dsl,No,No,Yes,Yes,No,No,0,0,1,1,0,0,0
9389-ACWBI,5,69.95,320.4,month_to_month,credit_card,fiber_optic,No,No,No,No,No,No,0,1,1,1,0,0,0
5419-JPRRN,1,101.45,101.45,month_to_month,electronic_check,fiber_optic,No,No,Yes,No,Yes,Yes,0,0,0,1,1,1,1
3644-QXEHN,13,97.0,1334.45,month_to_month,electronic_check,fiber_optic,No,No,Yes,No,Yes,Yes,0,1,1,1,0,0,0
2911-IJORQ,37,90.6,3358.65,one_year,bank_transfer,dsl,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,1,1,1,0
5921-NGYRH,64,73.55,4764.0,month_to_month,mailed_check,fiber_optic,Yes,No,No,No,No,No,0,1,0,1,0,1,0
2100-BDNSN,5,67.95,350.3,month_to_month,bank_transfer,dsl,No,No,Yes,Yes,Yes,No,0,1,0,1,1,0,1
5998-DZLYR,61,94.35,5703.0,two_year,bank_transfer,fiber_optic,No,Yes,No,Yes,No,Yes,0,1,0,1,1,1,0
0488-GSLFR,1,69.5,69.5,month_to_month,electronic_check,fiber_optic,No,No,No,No,No,No,0,0,0,1,0,1,1
9318-NKNFC,1,18.85,18.85,month_to_month,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,1,1
3985-HOYPM,26,19.4,525.55,one_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,0
9728-FTTVZ,1,69.2,69.2,month_to_month,electronic_check,fiber_optic,No,No,No,No,No,No,0,0,0,1,0,1,1
9548-LERKT,24,19.75,483.15,two_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,0,1,0,0,0
6576-FBXOJ,17,54.6,934.8,one_year,electronic_check,dsl,No,No,Yes,Yes,Yes,Yes,0,1,0,0,0,0,0
4310-KEDTB,26,29.8,786.5,month_to_month,mailed_check,dsl,No,No,Yes,No,No,No,0,0,1,0,0,1,0
7254-IQWOZ,1,69.65,69.65,month_to_month,electronic_check,fiber_optic,No,No,No,No,No,No,0,0,0,1,0,1,1
2474-BRUCM,40,101.85,4086.3,month_to_month,electronic_check,fiber_optic,Yes,No,No,No,Yes,Yes,1,1,0,1,1,0,1
4062-HBMOS,52,103.05,5364.8,month_to_month,electronic_check,fiber_optic,No,Yes,Yes,No,Yes,Yes,0,0,0,1,1,1,0
0742-NXBGR,1,82.3,82.3,month_to_month,electronic_check,fiber_optic,No,Yes,Yes,No,No,No,0,0,0,1,0,1,1
2676-ISHSF,1,20.3,20.3,month_to_month,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,0
9236-NDUCW,21,35.1,770.4,two_year,mailed_check,dsl,Yes,No,No,Yes,No,No,0,0,0,0,0,0,0
4753-PADAS,67,105.7,6816.95,one_year,bank_transfer,fiber_optic,No,Yes,Yes,No,Yes,Yes,0,1,0,1,1,1,0
6103-QCKFX,44,56.25,2419.55,month_to_month,bank_transfer,dsl,Yes,No,No,Yes,No,No,0,1,1,1,0,0,0
7781-EWARA,70,60.35,4138.7,one_year,electronic_check,dsl,No,Yes,Yes,Yes,Yes,Yes,0,1,1,0,0,0,0
6110-OHIHY,3,79.25,267.6,month_to_month,electronic_check,fiber_optic,No,No,No,No,Yes,No,0,0,0,1,0,0,1
7018-FPXHH,56,59.8,3457.45,two_year,bank_transfer,dsl,Yes,Yes,Yes,No,No,No,0,1,1,1,0,1,0
5889-LFOLL,13,84.6,1115.2,month_to_month,electronic_check,fiber_optic,No,No,No,No,No,Yes,0,0,0,1,1,1,1
5708-EVONK,58,93.4,5435.6,month_to_month,bank_transfer,fiber_optic,Yes,Yes,No,No,No,Yes,0,1,1,1,1,1,1
8708-XPXHZ,42,94.2,4186.3,month_to_month,electronic_check,fiber_optic,No,No,No,No,Yes,Yes,0,1,1,1,1,1,1
0616-ATFGB,1,25.05,25.05,month_to_month,electronic_check,dsl,No,No,No,No,No,No,1,1,0,0,0,0,1
0572-ZJKLT,46,99.65,4630.2,two_year,mailed_check,fiber_optic,Yes,No,Yes,Yes,No,Yes,0,1,1,1,1,0,0
5135-RDDQL,63,50.65,3221.25,two_year,bank_transfer,dsl,Yes,No,No,No,No,No,0,1,1,1,0,1,0
1353-LJWEM,11,60.9,688.5,month_to_month,electronic_check,dsl,No,Yes,Yes,Yes,No,No,0,0,0,1,0,1,0
1794-SWWKL,15,59.65,867.1,month_to_month,bank_transfer,dsl,No,No,Yes,Yes,No,No,0,1,1,1,1,1,0
6166-YIPFO,72,64.7,4746.05,two_year,electronic_check,dsl,Yes,Yes,Yes,Yes,Yes,Yes,0,1,0,0,0,1,0
7016-BPGEU,29,25.1,712.85,month_to_month,credit_card,dsl,No,No,No,No,No,No,0,0,0,0,0,1,1
6876-ADESB,1,48.95,48.95,month_to_month,electronic_check,dsl,No,No,Yes,No,No,No,0,0,1,1,0,0,1
9332-GYWLO,6,54.85,355.1,month_to_month,electronic_check,dsl,No,No,No,No,Yes,No,0,1,1,1,0,0,0
1963-SVUCV,1,45.3,45.3,month_to_month,electronic_check,dsl,No,No,No,No,No,No,0,0,0,1,0,0,1
4184-VODJZ,63,91.35,5764.7,one_year,electronic_check,fiber_optic,No,Yes,No,No,No,Yes,0,1,1,1,1,1,0
0220-EBGCE,2,85.85,167.3,month_to_month,electronic_check,fiber_optic,No,No,Yes,No,No,Yes,0,0,0,1,0,1,1
1092-WPIVQ,18,25.1,428.45,two_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,1,0,0
7233-IOQNP,43,34.0,1505.35,month_to_month,bank_transfer,dsl,Yes,No,No,Yes,No,No,0,1,0,0,0,0,0
2834-JKOOW,15,45.9,693.45,one_year,mailed_check,dsl,Yes,Yes,Yes,Yes,No,No,0,0,0,0,0,0,0
2754-VDLTR,10,95.2,930.4,month_to_month,electronic_check,fiber_optic,No,No,No,No,Yes,Yes,0,0,1,1,1,0,1
2400-FEQME,55,20.5,1177.95,two_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,0,0
3190-XFANI,49,100.6,5069.65,one_year,bank_transfer,fiber_optic,No,No,No,Yes,Yes,Yes,0,0,1,1,1,1,1
7551-DACSP,6,55.3,324.25,month_to_month,mailed_check,dsl,No,Yes,Yes,No,No,No,0,1,1,1,0,1,1
4957-SREEC,70,20.35,1458.1,two_year,credit_card,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,0,0
7235-NXZCP,2,74.85,156.4,month_to_month,mailed_check,fiber_optic,No,No,No,No,No,No,1,0,0,1,1,1,1
0230-UBYPQ,63,36.1,2298.9,one_year,bank_transfer,dsl,Yes,No,No,Yes,No,No,1,1,0,0,0,0,0
4923-ADWXJ,25,65.8,1679.65,month_to_month,bank_transfer,dsl,No,Yes,No,Yes,No,Yes,0,0,0,1,0,1,0
1763-KUAAW,18,20.35,369.6,one_year,bank_transfer,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,0,0,1,0,0,0
1104-TNLZA,28,105.8,2998.0,month_to_month,electronic_check,fiber_optic,No,Yes,No,Yes,Yes,Yes,1,1,0,1,1,1,0
5195-KPUNQ,53,96.75,5206.55,one_year,mailed_check,fiber_optic,Yes,Yes,No,Yes,No,Yes,1,0,0,1,0,1,0
0520-FDVVT,35,102.35,3626.1,one_year,bank_transfer,fiber_optic,No,Yes,Yes,No,Yes,Yes,0,0,0,1,0,1,1
3439-GVUSX,1,24.4,24.4,month_to_month,mailed_check,dsl,No,No,No,No,No,No,0,0,0,0,0,0,0
